scope,day,colour_id,count
tile,22,C11,7
tile,22,C12,1
tile,23,C00,1
tile,23,C01,0
tile,23,C02,31
tile,23,C03,0
tile,23,C04,0
tile,23,C05,0
tile,23,C06,1
tile,23,C07,13
tile,23,C08,8
tile,23,C09,0
tile,23,C10,5
tile,23,C11,20
tile,23,C12,2
tile,24,C00,0
tile,24,C01,0
tile,24,C02,0
tile,24,C03,25
tile,24,C04,0
tile,24,C05,0
tile,24,C06,4
tile,24,C07,0
tile,24,C08,0
tile,24,C09,50
tile,24,C10,0
tile,24,C11,2
tile,24,C12,0
tile,25,C00,10
tile,25,C01,0
tile,25,C02,0
tile,25,C03,0
tile,25,C04,33
tile,25,C05,3
tile,25,C06,8
tile,25,C07,0
tile,25,C08,0
tile,25,C09,24
tile,25,C10,0
tile,25,C11,3
tile,25,C12,0
